    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
 107     6.66          1.05798        7         0.356147         0.888788      1.87m
 108     6.66         0.961112        7          0.35705         0.881461      1.87m
 109     6.76           1.2327        7         0.363607         0.828279      1.84m
 110     6.62         0.956568        7         0.363073         0.832609      2.01m
 111     6.72          1.01154        7         0.358518         0.869555      1.86m
 112     6.82            1.671        7         0.365898         0.809698      1.85m
 113     6.79          1.11334        7         0.368468         0.788856      1.80m
 114     6.57           0.9472        7         0.356916         0.882552      1.74m
 115     6.60          1.02067        7         0.369262         0.782409      1.75m
 116     6.53          1.13069        7         0.364341         0.822323      1.92m
 117     6.69          1.50292        7         0.357196         0.880284      1.72m
 118     6.51         0.977688        7          0.36007         0.856973      1.78m
 119     6.50         0.974565        7         0.353734         0.908363      1.66m
 120     6.50          2.80237        7         0.363111         0.832307      1.66m
 121     6.42          1.84752        7         0.354997         0.898114      1.81m
 122     6.61          0.99044        7         0.363377         0.830148      1.60m
 123     6.60          1.05933        7         0.360861         0.850554      1.61m
 124     6.56         0.967577        7         0.357172         0.880479      1.58m
 125     6.70          1.33619        7         0.361609         0.844482      1.54m
 126     6.78          1.66312        7         0.362734         0.835361      1.52m
 127     6.62          1.70964        7         0.359064         0.865129      1.68m
 128     6.48          1.17162        7         0.369058          0.78407      1.46m
 129     6.43          1.38975        7         0.357946         0.874199      1.43m
 130     6.53          1.13207        7         0.367032           0.8005      1.42m
 131     6.66          1.04303        7         0.364115         0.824159      1.41m
 132     6.71         0.985574        7         0.359779         0.859327      1.40m
 133     6.88          1.10033        7         0.358781         0.867421      1.55m
 134     6.73          1.91688        7         0.360914         0.850126      1.39m
 135     6.66          1.06711        7         0.361507         0.845316      1.32m
 136     6.60         0.939417        7         0.357228         0.880023      1.29m
 137     6.53          1.08294        7         0.368267         0.790481      1.28m
 138     6.41          1.02606        7         0.360911         0.850149      1.26m
 139     6.55          1.07827        7         0.351118         0.929581      1.39m
 140     6.59          1.20786        7         0.370525         0.772171      1.23m
 141     6.50          1.07726        7         0.364616         0.820093      1.21m
 142     6.54           2.6968        7         0.364869         0.818044      1.18m
 143     6.58          0.99136        7         0.358166         0.872413      1.16m
 144     6.52          1.00954        7         0.364802         0.818588      1.16m
 145     6.60           1.1602        7         0.350294         0.936267      1.31m
 146     6.61          1.02661        7         0.361006         0.849381      1.18m
 147     6.57          1.56759        7         0.354845         0.899353      1.14m
 148     6.67           5.5697        7         0.364388         0.821945      1.09m
 149     6.57          1.03873        7         0.362823         0.834642      1.08m
 150     6.67          1.13104        7         0.349763         0.940568      1.08m
 151     6.66           1.0262        7         0.357809         0.875313      1.14m
 152     6.70          1.19712        7          0.36127         0.847235      1.01m
 153     6.73          1.02463        7         0.359869         0.858603      1.05m
 154     6.52          1.93091        7         0.362849         0.834425     59.05s
 155     6.65          1.86876        7         0.358815         0.867147     58.24s
 156     6.57          1.07306        7         0.358492         0.869767     55.50s
 157     6.45          1.09463        7         0.359576         0.860972      1.01m
 158     6.64          1.73282        7         0.367115         0.799825     53.79s
 159     6.46          1.19104        7         0.360054         0.857103     53.36s
 160     6.62          1.90743        7         0.369011         0.784448     52.69s
 161     6.59         0.994897        7         0.356589         0.885203     51.00s
 162     6.45         0.913446        7         0.363443         0.829611     47.50s
 163     6.42          1.04676        7         0.358833         0.867003     45.39s
 164     6.41          1.11102        7         0.352348         0.919604     49.83s
 165     6.56          1.82499        7         0.366181           0.8074     42.74s
 166     6.57          3.60794        7         0.370798         0.769951     42.52s
 167     6.45           1.0352        7          0.36553          0.81268     43.93s
 168     6.47         0.980151        7         0.349208         0.945075     42.43s
 169     6.52          1.03252        7         0.360897         0.850265     38.87s
 170     6.60         0.934372        7         0.356409         0.886667     43.48s
 171     6.58          1.14628        7         0.367253         0.798706     36.38s
 172     6.73          1.59784        7         0.362633          0.83618     34.54s
 173     6.61         0.976346        7         0.351243         0.928567     35.53s
 174     6.56          1.01059        7         0.365525         0.812723     33.59s
 175     6.60          1.27357        7         0.367592         0.795958     30.88s
 176     6.61          1.41121        7         0.356621         0.884948     29.49s
 177     6.64          1.04525        7         0.358343         0.870977     31.82s
 178     6.52         0.986173        7         0.351559         0.926004     26.94s
 179     6.64          1.03007        7          0.36572         0.811141     25.58s
 180     6.78         0.964723        7          0.35544         0.894525     24.15s
 181     6.77          1.03131        7         0.364355         0.822216     23.08s
 182     6.63          1.41383        7         0.363705         0.827485     21.79s
 183     6.49           1.0599        7         0.351726         0.924651     23.31s
 184     6.54          2.47636        7         0.361134         0.848343     19.19s
 185     6.62          1.30732        7         0.363279         0.830937     17.96s
 186     6.68          0.98843        7         0.369455         0.780851     16.77s
 187     6.51          1.02836        7         0.361835         0.842651     15.53s
 188     6.68          1.11776        7         0.360579         0.852841     14.18s
 189     6.55          1.31337        7         0.355732         0.892157     12.77s
 190     6.51         0.950139        7          0.36191         0.842043     13.20s
 191     6.62          1.31954        7         0.364488         0.821135     10.34s
 192     6.64          1.63275        7          0.36593         0.809437      9.75s
 193     6.64          19.9726        7         0.353318         0.911195      7.97s
 194     6.53          1.11331        7         0.353841         0.907491      6.59s
 195     6.76         0.957035        7         0.365875         0.809883      5.28s
 196     6.69          2.24858        7         0.367486         0.796818      4.18s
 197     6.62          1.05395        7         0.360662         0.852164      2.99s
 198     6.58         0.983979        7         0.357647          1.07639      1.31s
 199     6.60          1.43571        7         0.358407         0.870455      0.00s
sub(add(0.885, X2), add(-0.692, X0))

Process finished with exit code 0
